"CountryCode","SeriesCode","DESCRIPTION",
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ABW","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ABW","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ABW","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ABW","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
